Compound,A-1,A-2,B-1,B-2,C-1,C-2,D-1,D-2,E-1,E-2,F-1,F-2,G-1,G-2,H-1,H-2,I-1,I-2
207,3.79E-06,9.90E-06,1.49E-05,7.26E-06,6.47E-06,7.18E-06,1.68E-05,8.51E-06,4.92E-06,9.71E-06,6.21E-06,8.15E-06,1.30E-05,3.86E-06,7.37E-06,1.07E-05,9.80E-06,1.26E-05
208,6.94E-06,1.52E-05,1.14E-05,2.45E-06,7.45E-06,7.55E-06,1.84E-05,1.35E-05,6.75E-06,7.81E-06,6.66E-06,9.88E-06,1.21E-05,1.72E-05,5.86E-06,2.90E-06,4.12E-06,9.75E-06
209,0,0,0,0,0,0,0.000105319,0.000313816,9.25E-05,0,0.000326069,2.40E-05,4.51E-05,0.000252083,0,0,0.000304939,0.000141456
210,0.000506306,0.000547475,0.000516526,0.000421628,0.000389861,0.000606403,0.000850153,0.000363883,0.00052754,0.000437097,0.00033079,0.000275076,0.00045932,0.000350958,0.000409016,0.000317663,0.000338722,0.000506573
211,2.16E-05,1.94E-05,2.15E-05,1.85E-05,4.49E-06,1.41E-05,0,0,0,0,0,0,0,0,2.06E-06,0,0,0
212,0,1.33E-05,0,0,0,0,0,0,0,0,2.33E-05,1.28E-05,6.05E-05,4.25E-06,0,0,5.36E-06,1.46E-05
213,0.000159516,0.000338307,8.21E-05,0.000219372,0.000262015,0.000111735,4.92E-05,2.76E-05,9.96E-06,1.82E-05,2.72E-05,9.45E-06,8.59E-06,0,4.66E-05,5.23E-05,2.14E-05,1.16E-05
214,0.000265573,0.000351037,0.000159404,0.000377869,0.000152729,0.000371529,0.000708636,0.000282591,0.000246631,0.000362045,0.000273368,0.000184943,0.000436589,0.000152085,0.000313531,0.000273243,0.000122924,0.000302711
215,0.000265573,0.000351037,0.000159404,0.000377869,0.000152729,0.000371529,0.000708636,0.000282591,0.000246631,0.000362045,0.000273368,0.000184943,0.000436589,0.000152085,0.000313531,0.000273243,0.000122924,0.000302711
216,0.000180486,0.000205223,0.000242725,0.000170634,0.000135236,0.000228222,0.000227141,0.000133387,0.000130373,0.000159561,0.000150615,0.000130286,0.000172472,0.000122735,0.000151661,0.000151257,0.000140628,0.000164651
217,0.001888833,0.00166323,0.002344523,0.002077404,0.002078507,0.0028133,0.009193905,0.004336578,0.002666116,0.005428841,0.004768113,0.002341655,0.004914062,0.003904633,0.003415767,0.005424512,0.004124956,0.003813352
218,2.52E-05,1.34E-05,1.95E-05,1.41E-05,1.53E-05,1.41E-05,4.07E-06,1.96E-05,1.82E-06,0,0,0,0,0,3.42E-06,0,0,0
219,1.11E-05,2.49E-05,0.000582026,3.12E-05,2.96E-05,8.86E-05,0.000146028,0.002950753,0.000105465,0.001677542,0.000140941,5.09E-05,0.000652534,0.000856138,5.91E-05,0.001345022,7.13E-05,0.000101892
220,0.000159297,8.18E-05,0.000100256,0.000147295,0.000103833,0.000162677,0.000288966,4.66E-05,8.40E-05,0.000141922,7.32E-05,5.25E-05,0.000172807,1.22E-05,3.10E-05,0.000138269,9.35E-05,7.82E-05
221,7.03E-05,4.36E-05,3.48E-05,7.86E-05,5.07E-05,8.32E-05,9.96E-06,0,2.25E-06,2.06E-05,5.89E-06,4.95E-06,1.27E-05,9.15E-07,0.003651961,9.68E-06,2.99E-06,2.27E-06
222,0.00016414,0.000151021,0.000193808,0.000515958,0.000134084,0.000244131,9.78E-05,3.54E-05,5.23E-05,7.82E-05,7.39E-05,4.53E-05,8.06E-05,3.74E-05,6.61E-05,8.47E-05,4.75E-05,6.28E-05
223,5.51E-06,0,1.63E-06,1.14E-05,3.80E-06,4.87E-06,0,0,0,0,0,0,0,0,4.31E-06,0,0,0
224,0,0,6.40E-06,1.88E-05,6.48E-06,7.67E-06,0.000184189,0.000125289,6.09E-05,8.97E-05,6.66E-05,6.15E-05,0.000153178,4.74E-05,0,5.58E-05,0.000144052,0.000103003
225,0,0,0,8.22E-05,7.94E-05,4.44E-05,0,0,0,0,0,0,0,0,0,0,0,0
226,7.45E-05,0.000118894,9.84E-05,0,9.02E-05,7.24E-05,0,2.50E-05,4.47E-05,7.66E-05,0.000107517,6.93E-05,0,0,6.22E-07,7.75E-05,8.88E-05,9.42E-05
227,0,0,0,0,0,0,1.54E-05,2.29E-06,1.73E-06,6.13E-06,2.15E-06,4.25E-06,9.97E-06,1.25E-06,0,4.06E-06,1.33E-06,2.40E-06
228,0.000127594,0.0001292,0.000127175,0.00010634,0.000107213,0.000133393,0.000184289,9.38E-05,8.23E-05,0.000106214,9.21E-05,6.69E-05,0.000119748,7.46E-05,9.11E-05,0.000119102,0.000100636,8.85E-05
229,0.000171361,0.000853356,0.000103215,0.000145442,0.000470785,0.000163044,0.000104799,0.000180468,6.11E-05,0.000130149,0.000220172,6.02E-05,5.50E-05,0.000121885,4.80E-05,0.000199847,0.000255478,0.000100053
230,0.000186601,0.000175643,0.00016564,0.000233272,0,0.000259514,0.000826024,0.000310216,0.000387131,0.000518316,0.000496141,0.000317757,0.000597427,0.000260812,0.000180098,0.000522199,0.000373511,0.000362578
231,0,0,0,0,0,0,1.46E-05,5.86E-06,5.78E-06,2.10E-05,1.08E-05,7.59E-06,1.21E-05,1.16E-05,0,1.02E-05,0,7.70E-06
232,4.06E-05,7.24E-05,8.46E-05,0,0,0,0,0,1.08E-05,0.000401131,0.000383865,0.000359815,0,0,1.11E-05,0.000110647,0.000117379,0.000275975
233,7.77E-05,2.86E-05,8.27E-05,5.16E-05,5.36E-05,4.84E-05,8.36E-05,4.30E-05,3.27E-05,6.44E-05,4.08E-05,3.19E-05,5.62E-05,1.09E-05,4.66E-05,3.48E-05,4.57E-05,2.73E-05
234,0.000115845,0.000572188,0.000442744,5.85E-05,0.00064107,0.000220353,8.44E-06,0.000183353,7.33E-05,6.86E-05,0.000339177,4.49E-05,0,0,3.43E-05,0,0,0
235,0,0,0,0,0,0,3.65E-05,7.99E-06,1.25E-05,2.35E-05,7.47E-06,1.11E-05,2.54E-05,4.00E-06,0,2.13E-05,5.14E-06,5.80E-06
236,0,3.59E-06,0,0,0,0,0,1.91E-06,2.57E-05,0,0,0,1.51E-06,1.59E-06,0,0,0,0
237,2.96E-06,3.01E-06,7.17E-06,8.75E-06,2.11E-06,6.07E-06,8.31E-06,1.75E-06,0,5.44E-06,2.43E-06,3.52E-06,9.39E-06,1.68E-06,1.50E-05,8.72E-06,1.64E-06,0
238,7.38E-05,9.21E-05,0.000111527,0,0.000126522,0.000140001,0.000271802,0.000178223,9.16E-05,0.000226434,0.000237229,0.000183562,0.000212998,0,5.29E-05,0.000209372,0.000186513,0.000200342
